Date,Price,Volume,Market Cap
2019-01-01,443.57723058268016,65365.2087951325,322937594.6178588
2019-01-02,454.3146127855448,79758.07987207687,330818801.8809352
2019-01-03,485.52156326839673,326341.9971327351,353570285.3572277
2019-01-04,483.15474397954955,121930.5476756298,351831633.3121082
2019-01-05,491.52366646358945,154994.00919977346,357868478.9715908
2019-01-06,499.6160455910055,122811.2410313788,363586225.50405777
2019-01-07,503.2375189791432,120698.02340393228,366395440.4951265
2019-01-08,485.0341106581949,123412.95043382316,353891661.85169095
2019-01-09,483.5808993560552,156724.69495626845,352216829.195095
2019-01-10,484.7800672547197,67666.2885452818,353262182.8255702
2019-01-11,430.1469466294953,146112.72488762892,312889422.8805956
2019-01-12,424.20808829141896,162788.558489388,308443080.8138855
2019-01-13,425.6990600382086,283923.2327387988,309134396.9632447
2019-01-14,410.629250986289,99382.12895354963,298865864.86464
2019-01-15,449.5914265151131,203398.67424391388,327725963.4654157
2019-01-16,434.44786809755107,166112.48043930568,316208431.7032992
2019-01-17,451.383628719555,156618.74851564004,328867097.769065
2019-01-18,463.8562017948637,267364.3841922572,337768002.16751033
2019-01-19,457.27525851898366,188939.1003576255,333139401.9815967
2019-01-20,463.20972915174593,159001.08436386645,336937541.9027629
2019-01-21,450.7243374099868,173009.51705395355,328335516.5167807
2019-01-22,424.048949550888,6210253.345611588,308851118.790637
2019-01-23,450.09099795286085,4181495.310477071,327782715.6524397
2019-01-24,455.29405647356106,15658634.083806409,331399172.55444247
2019-01-25,467.94186555483714,16398495.931938479,340768261.2921481
2019-01-26,464.19595315338967,28795867.199680045,338100499.7568479
2019-01-27,443.90420246328745,46980898.95610789,323289303.90564
2019-01-28,429.33855792890216,5484823.616118706,312484124.5786078
2019-01-29,394.5654386918676,241884.0294134258,287491535.8798267
2019-01-30,394.9262004325802,260224.4966597717,287608969.3110604
2019-01-31,375.3447664788,688150.3249787223,273408898.6837389
2019-02-01,365.7352276058574,1056340.536863879,266277226.99555427
2019-02-02,374.0507008159724,344533.5643994752,272312586.9864156
2019-02-03,378.33114239543823,191559.33384343176,274020024.2440854
2019-02-04,375.0060612518389,171591.13840830477,273243616.66195667
2019-02-05,393.03441011686874,369365.7088052785,285263717.39066505
2019-02-06,396.65872595305086,253299.51326640465,288857899.4937988
2019-02-07,392.74418888037025,277125.72816280206,286007224.890364
2019-02-08,399.81460300544114,348159.9361536077,291156096.80238897
2019-02-09,441.33764156555213,752193.7067704399,321594338.9185975
2019-02-10,452.14917531300904,220091.12653731395,329453702.69060683
2019-02-11,470.04100104499463,439850.55422635545,342296910.0492955
2019-02-12,479.83745071464625,982183.503085071,349430956.7471797
2019-02-13,504.9334298690182,1423433.5498462578,367386204.173698
2019-02-14,544.2421910889146,2378942.9439603016,396332277.2141762
2019-02-15,516.0150554034221,997269.8062689907,375982972.82255596
2019-02-16,499.8022810275157,1556598.3249040598,363969900.6064613
2019-02-17,506.0948355770681,1191736.5396080706,368578313.9071378
2019-02-18,540.4334660458384,794778.12956269,393623888.9554469
2019-02-19,575.5238725615384,1408346.513436274,419112466.358145
2019-02-20,629.6888709111447,1577413.7939802269,458660503.69297504
2019-02-21,657.5470770989818,1203074.632050442,479555484.63450336
2019-02-22,642.5501005945786,912293.3825274195,467397667.9886259
2019-02-23,666.6580155144828,1085646.2776364286,487001954.87308705
2019-02-24,732.5346422502676,1884596.7384327308,533452069.051164
2019-02-25,648.3724480646375,2045552.8566184526,475819736.96912014
2019-02-26,670.0290166536639,1151046.5378533057,487933736.7038811
2019-02-27,678.7648003856449,1731723.848849424,494461399.73301435
2019-02-28,654.3750250361207,1364344.3767388773,476483655.24884737
2019-03-01,668.922470335245,695059.2472294017,487634957.87826407
2019-03-02,668.2932666716582,909402.8263729768,487088376.3893748
2019-03-03,671.6848114326382,927882.2320117508,489045190.614728
2019-03-04,661.8484241890144,1063043.3420510087,481950961.6178865
2019-03-05,617.4193049052315,1219339.6786418057,449621883.63141114
2019-03-06,674.8577887303768,1724446.9549253758,491320317.0642191
2019-03-07,682.2382165970236,1660595.9832286616,496829564.09820664
2019-03-08,672.424693251295,1433333.3459911137,489387338.5288646
2019-03-09,663.5391536430399,1082264.7060531087,483406492.8761538
2019-03-10,644.6187344475924,1077628.9941044084,469404833.3326189
2019-03-11,646.0550311351345,755981.2149886612,470474224.2217462
2019-03-12,649.991044243384,741248.9408999123,473269650.0522873
2019-03-13,655.7470958540838,914089.3988930158,477394571.1773827
2019-03-14,640.558938520511,892125.2167585302,466616521.7409723
2019-03-15,647.9582531369209,902459.551491153,471380817.4623962
2019-03-16,677.4398219957056,1398383.5528913524,492975171.95519495
2019-03-17,701.7427456321011,1428280.830362141,511237222.02918124
2019-03-18,696.9785614607097,916122.8108397125,507612237.72093713
2019-03-19,686.7333299015457,1239926.576551598,500114299.6744052
2019-03-20,704.4111962681562,2338990.9606130957,512901317.1864509
2019-03-21,698.3675230017172,4533366.817854498,508570623.9898531
2019-03-22,701.2329517407519,6358463.437094502,510805267.2063587
2019-03-23,726.0231437652847,1673276.6476743424,725957088.8650459
2019-03-24,732.452528493307,1089806.9269836005,732115061.455083
2019-03-25,727.4635649474916,3165410.633117919,727382274.6914839
2019-03-26,713.6580031934542,1901593.9597927677,713905348.9189595
2019-03-27,683.3927545923497,2483323.5575070325,709883966.646349
2019-03-28,728.756549639926,7559953.358698062,728944759.5696781
2019-03-29,719.5947251794777,8082942.9802538715,719592934.8140717
2019-03-30,700.1977446940725,5115036.617236604,700401771.3775274
