Date,Price,Volume,Market Cap
2019-01-01,56.205510435540546,522863285.6667695,313231646.6833842
2019-01-02,58.849641194397925,178173702.7747839,327701909.93024254
2019-01-03,60.22867361686871,199880880.34805167,336798101.9358928
2019-01-04,57.5893816734481,105092402.94318463,322202743.5403899
2019-01-05,58.02541720988011,230507639.54740664,326136274.3404793
2019-01-06,57.22126969193821,286787583.3389763,320643912.814548
2019-01-07,60.67427007640921,310924571.4131624,340631087.77751243
2019-01-08,60.462582038679116,819308925.9212891,339609122.8768676
2019-01-09,59.659361064230275,877564624.4638376,336609530.39833945
2019-01-10,59.630094058879195,647459372.2267556,336869304.21162176
2019-01-11,54.39261158907431,610942003.8440889,307263500.3970287
2019-01-12,56.005502939613145,862960566.1495556,315033773.53554165
2019-01-13,55.74368893948785,812111637.9022822,315461279.466726
2019-01-14,52.6163240253838,755974343.5715697,298075332.44498044
2019-01-15,55.47833957754307,926602400.8722842,314577682.3136946
2019-01-16,53.101309191155266,656805636.2861326,301163802.7439177
2019-01-17,53.17838036250571,226441349.55164635,302107094.5728946
2019-01-18,53.94821608667638,272897965.0912125,307189479.2613673
2019-01-19,52.61062738378229,841343768.6823862,300010100.9287347
2019-01-20,53.43958277574788,860910487.3118677,304745019.2670841
2019-01-21,52.22107448052925,572687121.43603,298281675.7870029
2019-01-22,51.593764624080094,659869287.0160478,295230964.24021935
2019-01-23,51.91835167106939,597586528.1470288,297553664.3014592
2019-01-24,51.80100292571768,536167358.9916836,297098816.49307215
2019-01-25,52.692777406676036,698947047.8676423,302763393.57226014
2019-01-26,51.837642981694685,815818750.4228336,297696223.20244217
2019-01-27,51.65921893207401,637482988.0737389,297446816.0517919
2019-01-28,51.08033354480498,261505056.80662864,294873230.0746344
2019-01-29,48.948544608279974,662852619.6275108,282619412.7876907
2019-01-30,48.49348456890205,118969471.02236734,280288620.7080133
2019-01-31,49.15594745943615,621467210.01558,284593417.27781004
2019-02-01,48.177910370346936,676525904.9130342,279202131.73793364
2019-02-02,47.88613924594855,712638871.9761147,278430497.34666884
2019-02-03,48.43818912766335,465916564.3938077,281408622.72684735
2019-02-04,47.87171261949503,374410719.72584045,278455689.9920206
2019-02-05,48.61559101784521,137692853.4825734,283132036.68138486
2019-02-06,48.24467257287988,145154480.07576394,282279480.1609568
2019-02-07,46.6266583078965,143537635.5391658,272218962.11592
2019-02-08,46.45439007778965,212260185.69128674,271544201.4207736
2019-02-09,49.57286025040749,223002535.57184726,288736784.39386076
2019-02-10,50.11299256079126,139102152.1513316,293569915.79948837
2019-02-11,50.00153029751804,253752466.9994758,292862769.60293716
2019-02-12,50.689617960386045,298203206.00785404,300952616.45815337
2019-02-13,53.62117405781115,189619199.29517898,314799196.0058542
2019-02-14,52.54863537022102,286713843.4824339,311440262.4651871
2019-02-15,51.36018150460858,278847954.94620234,302798123.0751671
2019-02-16,50.81501377481838,241981645.08174384,299944829.0271122
2019-02-17,51.0107301176506,321047136.51078796,300959716.42964864
2019-02-18,51.62977245324485,257851355.0792363,305183308.6199691
2019-02-19,54.59881817028983,162565126.73195443,323454659.8470446
2019-02-20,54.815925350859835,294216766.6963107,323665178.5648243
2019-02-21,54.672333981678825,179521662.28485203,324540100.0465563
2019-02-22,52.93775595535067,179231014.17005897,314684213.7917199
2019-02-23,53.47059016013366,216817491.12355724,318302736.82594013
2019-02-24,56.29306356237979,176402528.00512177,335509121.6533144
2019-02-25,51.36426773573721,183881138.7818136,306185329.7906396
2019-02-26,52.02127677683983,181120314.376115,310405801.45406514
2019-02-27,51.861713492255646,146043234.75197655,310203384.13261265
2019-02-28,51.97458225350511,220246387.95207125,310489060.0872978
2019-03-01,50.949605518925694,246229937.75585282,305400687.22639376
2019-03-02,51.39649422884053,217787855.45978704,308170571.06282926
2019-03-03,51.0901782072193,250000029.30736086,307061659.78124315
2019-03-04,50.274285335718346,157108878.83123806,301847988.43575996
2019-03-05,48.307658888168575,167295396.69649157,291029189.0489036
2019-03-06,50.47185806697115,171949552.15916383,304431421.7516628
2019-03-07,50.3179416737608,161274224.33629093,303836001.55676425
2019-03-08,50.22593694760813,183907709.14513233,303665700.8731328
2019-03-09,49.01047810161611,227283631.4437483,296642873.3888723
2019-03-10,51.23176977386213,201470865.934663,310478293.3677312
2019-03-11,50.61984352264488,219134734.47940975,307137482.4437579
2019-03-12,49.173938109446425,230591544.9696295,300578164.61441916
2019-03-13,53.234218202892656,234450901.07844308,323685093.6680014
2019-03-14,50.92076238632498,220007166.46448466,310148736.6769138
2019-03-15,52.264861126703835,230299756.15076163,318513023.78231746
2019-03-16,52.955107587062734,207266333.43814203,325463820.6358959
2019-03-17,54.373058128750074,117809915.94197115,333017595.5220226
2019-03-18,53.60806880317715,76358613.64423269,327935791.0953132
2019-03-19,53.78254630247562,157754932.94186074,330331912.23827744
2019-03-20,56.06344692555866,172668093.7032053,343531105.95078874
2019-03-21,58.74026213515186,222719663.5653716,360619639.7113783
2019-03-22,55.43023064790235,190375725.68220317,340693994.4061099
2019-03-23,55.126059738064114,147697536.63343203,339216839.4764406
2019-03-24,56.741900004355564,144340676.61959627,348977329.34474915
2019-03-25,57.26495436641606,147661994.80487326,352762801.1683911
2019-03-26,55.115189161493454,182448221.66943666,340475346.5867044
2019-03-27,54.45744090451704,145271512.15642026,336659643.62078655
2019-03-28,57.069449607586385,210861004.76793084,353385624.07397723
2019-03-29,56.043568618708775,150194454.9634268,347296040.74980617
2019-03-30,57.162632199665396,184965504.636019,355001677.61379236
2019-03-31,57.12122974774112,157565688.05847996,354830320.5679361
